Name,Source,Page,Category,Tags,Skill Proficiency Choice,Skill Proficiency Count,Tool Proficiency Choice,Tool Proficiency Count,Language Choice,Language Count,Equipment Text,Gold Alternative,Feature Name,Feature Type,Feature Rules Text,Feature Bullets,Personality Traits,Ideals,Bonds,Flaws,Suggested Feats,Starting Contacts,Starting Factions,Limitations,Designer Notes
Veil Navigator,Vestigium,,Exploration,"Veil,Travel,Airship",Perception; Survival,2,Navigator’s Tools,1,Trade Pidgin; Marillic,1,"Navigator’s tools, sextant, travel clothes",10 gp,Veilway Familiarity,Narrative,You know established safe routes through the Veil and can secure passage without checks under normal conditions.,Veil Passage:: You can find safe Veil routes.; Local Trust:: Veil guides treat you as known.,I trust maps more than memory.; Silence keeps you alive.,Discovery; Survival,I owe my life to a sky-captain.,I underestimate the danger of uncharted paths.,Aeronaut Pilot; Boundary Sense,Dockmaster Ilen,Sky Guild,Cannot bypass active Veil hazards,Background grants access not power
Skelbraith Pilot,Vestigium,,Exploration,"Airship,Skelbraith",Perception; Vehicle (Air),2,Navigator’s Tools; Vehicles (Air),1,Trade Pidgin,1,"Pilot harness, charts, goggles",15 gp,Open Skies Access,Narrative,You can secure basic airship passage or temporary piloting work in Skelbraith ports.,Dock Access:: You can find airship work.; Flight Trust:: Crews treat you as trained.,Risk excites me.; I scan horizons constantly.,Freedom; Precision,My ship is my family.,I push machines too far.,Aeronaut Pilot; Boundary Sense,Portmaster Kael,Skelbraith Sky Guild,No military authority,Civil aviation background
Erelian Graduate,Vestigium,,Academic,"Erelian,Scholar",Arcana; History,2,,,Erelian,1,"Academic robes, thesis notes",10 gp,Scholarly Standing,Narrative,Academic institutions recognize your training and credentials.,Library Access:: You gain access to restricted archives.; Peer Recognition:: Scholars take you seriously.,I cite sources obsessively.; I debate everything.,Knowledge; Truth,My mentor shaped my worldview.,I dismiss non-academic insight.,Iterative Reasoning; Material Intuition,Archivist Selune,Erelian Academies,No practical authority,Knowledge gate background
Aestari Remote Royalty,Vestigium,,Nobility,"Aestari,Nobility",Insight; Persuasion,2,,,Aestari; Trade Pidgin,1,"Signet ring, formal attire",25 gp,Distant Authority,Narrative,Your lineage is recognized though politically remote.,Ceremonial Respect:: Lesser nobles show deference.; Audience Rights:: You can request formal hearings.,I expect decorum.; I speak carefully.,Order; Legacy,My house name still matters.,I am detached from common life.,Situational Authority,Court Envoy Lethis,Aestari Courts,No command power,High-status low-impact
Aestari Low Nobility,Vestigium,,Nobility,"Aestari,Minor Noble",Persuasion; History,2,,,Aestari,1,"Modest finery, family ledger",15 gp,Familiar Name,Narrative,Your family is known but not powerful.,Social Entry:: You can enter noble functions.; Courtesy Shield:: Insults are socially risky.,I know etiquette.; I resent higher houses.,Ambition; Tradition,My family expects advancement.,I am easily slighted.,Conversational Inertia,House Factor Virel,Aestari Houses,Limited influence,Mid-tier noble
Varnhallan Businessman,Vestigium,,Commerce,"Varnhallan,Trade",Persuasion; Insight,2,Forgery Kit,1,Trade Pidgin,1,"Contracts, ledger, seal",20 gp,Commercial Leverage,Narrative,Merchants treat you as a serious negotiator.,Trade Credit:: You can secure short-term credit.; Market Sense:: You know who to talk to.,Everything is a deal.; I read people.,Profit; Stability,My enterprise sustains others.,I cut corners.,Operational Planner,Broker Hesk,Varnhallan Guilds,Subject to contracts,Economic background
Varnhallan Warehouse Worker,Vestigium,,Labor,"Varnhallan,Industry",Athletics; Perception,2,Carpenters Tools,1,,,"Work gloves, pry bar",5 gp,Industrial Familiarity,Narrative,You know how goods move and who controls them.,Backroom Access:: Workers share info.; Shift Cover:: You can find labor fast.,I notice inefficiency.; I endure long hours.,Reliability; Solidarity,My coworkers rely on me.,I distrust management.,Productive Error,Foreman Jorr,Varnhallan Syndicates,No authority,Working-class access
Vexholmic General,Vestigium,,Military,"Vexholmic,Command",History; Intimidation,2,Vehicles (Land),1,Vexholmic,1,"Insignia, maps, sidearm",25 gp,Chain of Command,Narrative,Veterans recognize your authority.,Command Respect:: Soldiers defer.; Strategic Access:: You can requisition info.,I think in formations.; I expect obedience.,Order; Victory,My army defines me.,I struggle without command.,Situational Authority,Marshal Korth,Vexholmic Legions,Former authority only,High-rank past
Vexholmic Soldier,Vestigium,,Military,"Vexholmic,Infantry",Athletics; Survival,2,Smith’s Tools,1,Vexholmic,1,"Uniform, weapon kit",10 gp,Unit Brotherhood,Narrative,Soldiers recognize shared service.,Veteran Bond:: Military folk trust you.; Camp Access:: You find shelter.,I follow routines.; I watch flanks.,Duty; Survival,My unit saved me.,I expect violence.,Witness of Collapse,Sergeant Rekk,Vexholmic Legions,No command,Standard service
Vexholmic Deserter,Vestigium,,Outcast,"Vexholmic,Fugitive",Stealth; Survival,2,Disguise Kit,1,Vexholmic,1,"Stolen papers, cloak",5 gp,Living Off-Grid,Narrative,You know how to disappear from authority.,Safe Routes:: You know escape paths.; False Papers:: You find forgeries.,I sleep lightly.; I distrust uniforms.,Freedom; Survival,Someone hunts me.,I abandon plans.,Improvised Standardization,Fence Morra,None,Wanted status,Risk-heavy background
Arochi Friend,Vestigium,,Social,"Arochi,Community",Insight; Performance,2,,,Arochi,1,"Tokens, shared gifts",5 gp,Cross-Cultural Trust,Narrative,Arochi communities treat you as kin.,Shared Shelter:: You find refuge.; Cultural Bridge:: Missteps are forgiven.,I listen more than speak.; I value bonds.,Harmony; Curiosity,I belong between worlds.,I avoid confrontation.,Conversational Inertia,Elder Sori,Arochi Circles,Contextual trust,Social bridge
Cindralis Apprentice,Vestigium,,Craft,"Cindralis,Arcane",Arcana; Investigation,2,Alchemist Supplies,1,Erelian,1,"Notes, reagents",10 gp,Workshop Access,Narrative,Cindralis workshops accept you.,Mentor Access:: You can seek guidance.; Tool Use:: Facilities are open.,I experiment constantly.; I chase patterns.,Innovation; Mastery,My mentor expects results.,I take unsafe risks.,Material Intuition,Master Cindra,Cindralis Order,Junior status,Apprentice role
Mobster,Vestigium,,Criminal,"Underworld,Crime",Deception; Intimidation,2,Forgery Kit,1,Trade Pidgin,1,"Hidden weapon, cash",15 gp,Underworld Standing,Narrative,Criminals know your reputation.,Street Network:: You get rumors.; Protection:: Minor criminals hesitate.,I project confidence.; I plan exits.,Loyalty; Power,My crew depends on me.,I escalate quickly.,Operational Redundancy,Fixer Lano,Underworld Syndicates,Criminal ties,Illicit access
Silent Choir Cultist,Vestigium,,Cult,"Silent Choir,Cosmic",Religion; Insight,2,,,Marillic,1,"Symbol, ritual texts",5 gp,Hushed Communion,Narrative,Cult members recognize you.,Ritual Shelter:: You find safe houses.; Shared Signs:: You identify members.,I avoid noise.; I seek meaning.,Transcendence; Order,The Choir hears me.,I shun outsiders.,Boundary Sense,Cantor Vesh,Silent Choir,Social stigma,Occult background
Silent Witness Consuit,Vestigium,,Cosmic,"Silent Witness,Legal",Investigation; Insight,2,Calligrapher’s Supplies,1,Marillic,1,"Sealed records, badge",15 gp,Testimonial Authority,Narrative,Your testimony carries weight.,Official Hearings:: You can be heard.; Record Access:: You view sealed logs.,I observe silently.; I document precisely.,Truth; Stability,My records protect others.,I hesitate to act.,Preemptive Read,Archivon Tesk,Silent Witness,Bound by protocol,Legal observer
Black Tower Conduit,Vestigium,,Arcane,"Black Tower,Arcane",Arcana; Religion,2,Alchemist Supplies,1,Erelian,1,"Focus crystal, robes",20 gp,Tower Channel,Narrative,Black Tower agents recognize your mark.,Arcane Access:: You enter restricted zones.; Energy Handling:: You move materials.,I feel currents.; I obey structure.,Power; Control,The Tower reshaped me.,I am dependent.,Ordonnant Scarred,Custodian Vael,Black Tower,Hazard exposure,High-risk arcane
Serevan Communist,Vestigium,,Political,"Serevan,Ideology",Persuasion; History,2,,,Trade Pidgin,1,"Pamphlets, red armband, notebook",10 gp,Collective Network,Narrative,Grassroots cells recognize you as part of the movement.,Cell Support:: You can find shelter among sympathizers.; Shared Cause:: Workers are willing to listen.,I speak in principles.; I distrust hierarchy.,Equality; Solidarity,The movement must succeed.,I excuse excesses.,Conversational Inertia,Cell Organizer Varo,Serevan Collectives,Hunted by authorities,Ideological background
