Name,Ancestor,Demonym,Size Category,Min Height,Max Height,Average Build,Sexual Dimorphism,Skull Shape,Brow Structure,Facial Hair,Nose,Jaw Structure,Dentition,Defensive Growth,Ear Type,Eye Count,Eye Shape,Eye Color Range,Secondary Vision Traits,Skin Texture,Skin Thickness,Complexion,Markings,Hair Presence,Hair Texture,Hair Color Range,Secondary Covering,Arm Count,Leg Count,Limb Proportions,Hand Structure,Number of Digits,Foot Structure,Posture,Tail,Spine,Evolutionary Path,Planar Influence,Environmental Adaptation,Hybridization,Gamete Logic,Transfer Interface,Gestation Method,Vestigial Traits,Lifespan Average,Aging Markers,Youth Markers,Youth Traits,Elder Traits,Typical Grooming,Ornamentation,Status Indicators,Facial Expression Norms
Aestari,Luminari,Aestari,Medium,"5'8""","6'6""",Slender and elongated,Low,Elongated and refined,Smooth and subtly raised,Some,"Fine, straight, and sculpted",Narrow and delicate,Human-standard,None,Long pointed,2,"Narrow, layered","Pearl-grey, amber, blue, green",,"Smooth, sculpted",,Porcelain to muted violet,Faint facial and throat gradients,Full; curly or wavy,,"Ash blond, pearl, pale brown",None,2,2,Long-limbed,Five-fingered,5,Plantigrade,Upright,None,,,,Cities,,"Sperm-producing, Ova-producing","Penetrative, Receptive canal",Internal Gestation,,Adulthood at 100 years; typical lifespan 600 to 800 years.,Subtle loss of luminosity,,Soft facial features,Mantle surface dulling,Hair meticulously arranged around the horn; skin and horn surfaces kept flawless,"Fine metals, ritual threads, house colors, and precisely tailored formalwear",Mantle refinement; garment geometry,Controlled and appraising
Arochi,Pykari,Arochi,Small,"3'8""","4'8""",Lean and durable,Low,Fine humanoid,Gentle and fine,Some,Small and narrow,Narrow but sturdy,,None,Elongated pointed,2,Large almond,"Amber, gold",,Smooth,,Teal to blue-green,Wind- and sun-mottling,Thick; tousled or braided,thick,"Copper-brown, auburn, umber, honey-brown",None,2,2,,Five-fingered,5,Plantigrade,Upright,None,,,,,,"Sperm-producing, Ova-producing","Penetrative, Receptive canal",External Brood,,Adulthood at late teens; typical lifespan 90 to 120 years.,,,,,Wind-tousled hair tied back or braided into practical cords,"Woven fibers, trade cords, seed charms, and well-maintained work tools",,Calm and attentive
Borrin,"Tyrikai,Vorraki",Borrin,Small,"3'8""","4'10""","Short, broad, and sturdy",Low,"Broad, rounded, and goblinoid","Heavy, wrinkled, and low-set",Sparse or absent; dense scalp hair common,"Small, broad, and flattened",Wide and rounded with slight underbite,Small tusk-like lower canines,None,"Very long, drooping, and leathery",2,"Large, round, and deep-set","Amber, gold, ochre",Low-light reflective gaze,"Wrinkled, pebbled, and weathered",Thick,"Olive grey, moss green, or muddy brown","Golden freckles, warts, mud staining, and age creases",Dense scalp hair; little facial hair,Tight curls or coarse short coils,"Black, dark brown, umber",Leathery ear folds and roughened hands and feet,2,2,Short-limbed with large hands and feet,"Broad, thick-fingered hands",5,Broad bare plantigrade feet,Grounded and slightly stooped,None,Slightly hunched,,,"Woodland ruins, damp paths, and foraging grounds",,"Sperm-producing, Ova-producing","Penetrative, Receptive canal",Internal Gestation,,Adulthood at 15 years; typical lifespan 80 to 110 years.,,,,,"Curls kept short or practical; ears cleaned, folded, or draped beneath hoods and wraps","Herb bundles, mushroom baskets, walking staves, small bells, keys, pouches, and scavenged charms","Quality of foraging kit, useful charms, and well-kept ear folds","Watchful, wary, and quietly stubborn"
Brannholt,Delvani,Brannholt,Medium,"5'0""","6'5""","Broad, stout, and muscular",Low,Broad humanoid,Heavy and weathered,Full,Broad and flattened,Broad and thick,,None,Human-like,2,Deep-set,"Brown, amber, mirage-bright",,Wind-worn stone-like,,Basalt brown to volcanic red-brown,Mineral seams and crystalline freckles,Coarse; curly or braided,,"Dark brown, black, rust",None,2,2,,Five-fingered,5,Plantigrade,Upright,None,,,,,,"Sperm-producing, Ova-producing","Penetrative, Receptive canal",Internal Gestation,,Adulthood at late twenties; typical lifespan 100 to 120 years.,,,,,"Hair wrapped, braided, or cropped to manage heat, salt, and sand","Shade scarves, water tokens, route beads, and heat-weathered workwear",,Watchful and reserved
Brasselan,Delvani;Moeder,Brasselan,Medium,"6'8""","8'6""",Massive and heavily hunched,Low,Broad and compressed,"Heavy, hidden by hair and horn mass",Full,Broad and flattened,Massive and compressed,,Heavy backward-curving ram horns,Human-like,2,Deep-set,,Darkvision 60 ft,Thick and leathery,,Peat brown to frost-ash,Weathered folds,"Extremely long, coarse, and braided",,,None,2,2,,Five-fingered,5,Plantigrade,Severely hunched,None,,,,,,"Sperm-producing, Ova-producing","Penetrative, Receptive canal",Internal Gestation,,Adulthood at 40 years; typical lifespan 180 to 250 years.,,,,,Hair and beard braided into heavy insulating cords; horns cleaned but rarely polished,"Layered insulated robes, structural medallions, and storm or lineage tokens",,Stoic and burdened
Broodlings,Wretchmother,Broodling,Medium,"5'4""","6'2""",Slight and youthful,Medium,Fine humanoid,Smooth and childlike,None,Small and delicate,Small and rounded,,None,Pointed,2,Large reflective almond,,,Smooth,,Pale blue-grey,Minimal sutures or growths in young examples,Fine; short or tied back,,,None,2,2,,Five-fingered,5,Plantigrade,Upright,None,,,,,,No Gametes,"Receptive canal, Penetrative",No Gestation,,Adulthood at a stable adolescent form within months; typical lifespan 20 to 40 years unless transformed by a Broodsister.,,,,,Initially mimic the grooming habits of nearby people; claimed individuals are groomed by their brood,"Borrowed finery, brood-issued tokens, and increasingly visible sutures or iron growths",,
Cindralis,Delvani,Cindralis,Medium,"4'8""","5'8""",Compact and narrow-limbed,Low,Rounded with mineral nodules,Bony and nodular,None,Flattened,Narrow with mineral nodules,,Bony brow and scalp nodules,Human-like,2,"Deep-set, dark","Smoky quartz, dark metal",,Coarse cast-metal or stone,,"Bronze, pewter, brass, or oxidized copper",Bony ridges and patterned nodules,Absent or very sparse,,,None,2,2,,Five-fingered,5,Plantigrade,Slightly hunched,None,,,,,,"Sperm-producing, Ova-producing","Penetrative, Receptive canal",Internal Gestation,,Adulthood at 30 years; typical lifespan 120 to 150 years.,,,,,"Scalp growths left visible; hands, tools, and work surfaces kept meticulously clean","Fine metalwork, guild badges, annotated tools, and visible marks of craft",,
Custodian,Shadow,Custodians,Medium,"5'10""","6'8""","Tall, gaunt, and elongated",Low,Smoothed and eroded humanoid,Smoothed and eroded,None,Worn down or nearly absent,Thin and eroded,,None,None visible,2,Sunken,"Slate Grey, Dark Brown, Deep Blue, Moss Green, Obsidian",,"Ashen, mummified, or shadow-woven",,Ash grey to void black,Sealing glyphs and chain-like striations,Absent,,,Shadow-like mantle,2,2,,Five-fingered,5,Plantigrade,Rigid and drifting,None,,,,,,Hermaphroditic,Cloacal,External Brood,,"Adulthood at fully formed when appointed or awakened; typical lifespan indefinitely, though centuries of service gradually erode their features and identity.",,,,,"No cosmetic grooming; seals, bindings, and eroded surfaces are ritually maintained","Chains, sealing glyphs, keys, oath tablets, and austere judicial vestments",,
Delvani,Stonedelvers,Delvani,Medium,"5'0""","6'5""","Dense, broad, and load-bearing",Low,Broad and heavy,Heavy and ridged,Common and full,Broad and flattened,Broad and heavy,,None,Small pointed,2,Deep-set,"Brown, Dark Brown, Hazel, Bronze, Copper, Amber, Moss Green","You do not have Darkvision, as humanity’s origins are tied to the daylight, not the dark.",Matte stone-like,,"Sandstone, clay-grey, or granite",Visible mineral veins and fracture lines,Coarse; thick facial hair,,,None,2,2,,Five-fingered,5,Plantigrade,Grounded,None,,,,,,"Sperm-producing, Ova-producing","Penetrative, Receptive canal",Internal Gestation,,Adulthood at late twenties; typical lifespan 100 to 120 years.,,,,,"Thick hair and beards kept practical, often braided away from tools and flame","Mineral jewelry, hearth tokens, work leathers, and communal craft marks",,Warm but grounded
Dren,Maligath Ancestor,Dren,Medium,"5'6""","6'8""",Tall and powerfully muscular,Low,Severe humanoid,Strong and severe,None or minimal,Flattened,Heavy and square,,None,Human-like,2,"Narrow, ember-lit","Ember-orange, coal-red, amber, gold",Your embered eyes grant you Darkvision up to 60 feet.,Matte volcanic stone,,"Slate blue, charcoal, or ember-red",Broad heat-striations and sediment bands,Absent or very sparse,coarse,,None,2,2,,Five-fingered,5,Plantigrade,Grounded,None,,,,,,"Sperm-producing, Ova-producing",Cloacal,External Brood,,Adulthood at 30 years; typical lifespan 250 to 350 years.,,,,,Minimal hair grooming; ash and heat-striations are cleaned but left unobscured,"Hearth tokens, ash-cloth wraps, forge pieces, and keepsakes from shared shelters",,Severe and steady
