Images,Spell Name,Page,Source,Foundry Tag,Unnamed: 5,Tag ABRV,Tag,Theme,Class,New Class,Subclass,Level,School,School ABRV,Description,Notes,Clarification,Table,Scaling,Scaling Level,Scaling Modifier,Scaling Effect,Scaling Dice Count,Scaling Dice Type,Fixed Value,Flavor,Alternative Flavor,Quotes,Anomaly Effect,Modifier Details,Modifier Type,Modifier Subtype,Modifier Dice Count,Modifier Dice Type,Modifier Fixed Value,Modifier Use Primary Stat,Modifier Duration,Modifier Duration Unit,Damage,Damage Type,Old Damage Type,Old Type,Condition,Saving Throw,Success,Fail,Skill Check,Ability Check,DC,Ritual,Techno Magic,Casting Time,Casting Unit,Casting Type,Trigger,Duration,Duration Type,Duration Amount,Duration Unit,Up To,Concentration,Range,Range Type,Range Unit,Range Distance,Area,Area Type,Area ABRV,Area Unit,Area Distance,Components,Components ABVR,Component Description (Material),Component Description (Somatic),Component Description (Verbal),Terrain,Terrain Effect,Consecrated / Desecrated,Cost,Acquisition Note,Permit,Blood Pact,Blood Pact Effect,Arcane Strain,References SRD,Image Url,DDB,WA,LLM Class
,Abhaaldrac’s Unmaking Descent,0.0,ORIO,"Permanent Effects, Modifies AC","Permanent Effects, Modifies AC",PRM,,,"Sorceror, Druid, Wizard",Architect,,9th-level,Evocation,V,"You call upon Abhaaldrac, the World Destroyer who drifts beyond the Far Cosmos, and invite a fragment of its attention to fall upon the world. The moment its presence presses against reality, the Loom begins to tear.

Across the affected region, existence destabilizes violently. Gravity bends toward impossible vectors, structures shear and realign, and the Veil fractures as alien geometries intrude. The land does not merely break, it is rewritten according to principles that do not belong to this world.

Anomalous entities and cosmic hazards manifest spontaneously, acting without pattern, allegiance, or mercy. Spellcraft within the area becomes dangerously unstable as Abhaaldrac’s influence distorts intent and outcome, causing magic to misfire, mutate, or recoil upon its caster.

At its highest invocation, Abhaaldrac does not withdraw. The descent completes, and the region becomes a permanent scar upon reality, a place where the Far Cosmos presses close and the world forever remembers that it was once seen by something vast enough to end it.",,,,"- If cast at 10th level, the effect becomes permanent, transforming the area into a quarantined anomaly site.",,,,,,,,,,,spellcraft within the area becomes dangerously unstable as Abhaaldrac's influence distorts intent an,4.0,,,,,,,,,,,,,,,,,,,False,False,Action,1.0,Action,,24 hours,,24.0,Hours,False,False,300 feet (1- mile- radius event),Radius,300.0,Feet,,,,,,"Verbal, Somatic, Material","V, S, R",a classified A.S.T.R.A.L. document,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/abhaaldrac%E2%80%99s%20unmaking%20descent.png,3137383.0,,"Sorcerer, Warlock"
,Aegis of Rebounding Force,0.0,ORIO,,,,"Defense, Firearm",,"Ranger, Sorceror",Operative,,2nd-level,Abjuration,A,"You draw a momentary aegis of compressed force tight against your body. Until the start of your next turn, missiles, bolts, and hurled weapons strike as though the air itself resists them, their impact dulled before reaching you.

Those who attempt to wound you from afar feel the backlash of their own momentum, as the rebounding force snaps back along the path of the attack, bruising flesh and rattling bone.",,,,1d6 per level above 2nd,2.0,,16.0,1.0,6.0,,,,,,"missiles, bolts, and hurled weapons strike as though the air itself resists them, their impact dulle",1.0,,,,,,1,,,,Force,,,,,,,,,False,False,Reaction,1.0,Reaction,,1 rounds,,1.0,Rounds,False,False,Self,Point,,Self,,,,,,"Verbal, Somatic","V, S",,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/aegis%20of%20rebounding%20force.png,3137437.0,,"Paladin, Sorcerer"
,Alerrim's Solitude,0.0,ORIO,"Modifies AC, Uses Bonus Action, Grants Advantage","Modifies AC, Uses Bonus Action, Grants Advantage",MAC,"Unhinged, Debuff, Rework, BETA",,"Warlock, Wizard, Druid","Architect, Cultist",,7th-level,Illusion,I,"You overwhelm the senses of up to six creatures within range with a hallucinated scent so vivid and strange that it threatens their grip on reality. The scent can be chosen by you upon casting and changes the spell’s effect. You may also choose whether the scent feels directional or all- consuming. Affected creatures must make a Constitution saving throw or suffer the selected effect.

At the end of each of their turns, affected creatures must repeat the saving throw. On two failed saves, the target becomes Stunned until the end of their next turn as the olfactory hallucination overwhelms their nervous system.

Choose one scent effect upon casting:

Rot and Filth: Targets that fail their save are Poisoned and suffer disadvantage on saving throws against charm and fear effects for the duration .

Sweet Perfume: Targets must succeed on a Wisdom save or be Charmed by you until the end of that turn.

Burnt Ozone: On a failed save, targets cannot take reactions until the start of their next turn and The creature has disadvantage on Perception and Insight checks.

You may use a bonus action on your turn to change the scent’s directionality (e.g., from everywhere to a specific direction).

The illusion lingers for 1 minute, and affected creatures must repeat the saving throw at the end of each of their turns. On a success, the effect ends for them.

Condition Synergy: If a target is already Frightened, Charmed, or Poisoned when affected, it has disadvantage on the initial saving throw.

Obscured Battlefield: While under the spell’s effect, affected creatures are considered heavily obscured to others—they constantly shift position in reaction to the scent, creating a surreal mirage- like presence. This effect ends if the scent illusion ends.

Additionally, while the spell is active, you may use an action to cause the scent to mimic a recognizable compound—such as smoke, fuel, or blood—potentially triggering scent- based detection systems or distracting creatures with scent- based senses.",,,,,,,,,,,"In the city of Concord, Alerrim's Solitude is outlawed, for it was once used by the cult of the Silent Maw to unmake a senator in broad daylight. Witnesses swore they saw his shadow scream before vanishing entirely.

Those who cast Alerrim's Solitude often find that they dream differently afterward. They dream of corridors that stretch into infinity, doors that lead to places older than time.",,,"When casting this spell, roll a d20. On a 15 or higher: Reality trembles slightly, causing a ripple that lingers unseen.",must make a Constitution saving throw,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,Action,1.0,Action,,1 minutes,,1.0,Minutes,False,True,10 feet,Point,10.0,Feet,,,,,,"Somatic, Material","S, R",a small wax candle,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/alerrim%27s%20solitude.png,3137187.0,,"Bard, Sorcerer, Warlock"
,Amphibious Downpour,0.0,ORIO,Difficult Terrain,Difficult Terrain,DFT,"Mispelled, BETA",,"Druid, Bard",Architect,,2nd-level,Conjuration,C,"You summon a localized, magical downpour of harmless frogs in a 10- foot radius area within range. The frogs immediately cover the ground, creating difficult terrain for the duration. They persistently croak in gentle harmony, producing mild distraction but no other direct harm.

When the spell ends, the frogs disperse naturally, leaving no lasting effect.",,"Clarifications:- The frogs are non- hostile and cannot be used for damage.- The difficult terrain affects all creatures equally, allies and enemies alike.","| Spell Slot Level | Radius of Effect |
|----------------------- |-------------------- |
| 1st-level | 10- foot radius |
| 2nd-level | 20- foot radius |
| 3rd-level | 30- foot radius |
| 4th-level | 40- foot radius |
| 5th-level or higher | 50- foot radius |",,,,,,,,,,,,produces mild distraction but no other direct harm,4.0,,,,,,,,,,,,,,,,,,,False,False,Action,1.0,Action,,1 hours,,1.0,Hours,False,False,Self,Point,,Self,,,,,,"Somatic, Verbal","V, S",,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/amphibious%20downpour.png,3137188.0,,Druid
,Architect’s Collapse,0.0,ORIO,Affects Objects,Affects Objects,OBJ,BETA,,"Druid, Paladin",Architect,,4th-level,Transmutation,T,"You touch a crafted object or man-made structure and command it to forget its shape. Wood, stone, and metal separate cleanly into their original components, collapsing without shattering or violence. A blade divides into hilt and edge, a building falls back into beams, nails, and stone. The materials retain the memory of their former arrangement and may be restored without loss if reassembled within 48 hours. If rebuilt incorrectly, the components resist, forcing themselves back toward their original design.",,,,,,,,,,,,,,"- If misused, the materials may refuse to be reassembled, taking on forms of their own choosing.",,,,,,,,,,,,,,,,,,,,,False,False,10 minutes,10.0,Minutes,,Permanent,Permanent,,,False,False,Touch (up to 10 feet of crafeeted material),Point,10.0,"Touch, Feet",,,,,,"Verbal, Somatic, Material","V, S, R",,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/architect%E2%80%99s%20collapse.png,3137192.0,,Artificer
,Arouse,0.0,ORIO,"Modifies AC, Grants Advantage","Modifies AC, Grants Advantage",MAC,"Sexual, Utility, BETA",,Bard,"Celebrity, Medic, Cultist",,1st-level,Enchantment,E,"You overstimulate a creature’s autonomic responses, flooding the body with involuntary signals divorced from intent or desire. Heart rate accelerates, skin flushes, pupils widen, and sensory thresholds spike as the body reacts without the mind’s consent.

While affected, the creature suffers disadvantage on Stealth checks as involuntary motion and heightened awareness disrupt subtlety. It gains advantage on checks relying on touch, hearing, or taste, but has disadvantage on concentration checks due to sensory overload. Creatures without nervous systems, or those immune to charm effects, are unaffected.

The reaction may be mistaken for excitement, panic, or agitation depending on context, often leading to social misinterpretation. The effect is purely physiological, a surge of reflex without command or emotion.",,"Optional Roleplay Effects:

The response may resemble nervousness, excitement, or panic depending on context. Social misinterpretations are common and potentially useful (or disastrous).

Notes for Tables:
- Reflavor it for espionage, interrogation, or psychic interference if you want to avoid overtly sexual interpretation.
- Mechanically, it behaves like a stimulant- overload or magic caffeine shot — sensory boost, motor disruption.",,,,,,,,,,,,,suffers disadvantage on Stealth checks,5.0,,,,-,,1,,,,,,,,,,,,,False,False,Action,1.0,Action,,1 turn + 1 rounds/level,,1.0,Rounds,False,False,20 feet,Point,20.0,Feet,,,,,,"Verbal, Somatic, Material","V, S, R",a biometric stimulant patch,,,,,,,,,Pleasure Numbing,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/arouse.png,3137360.0,,Sorcerer
,Ashen Breath,0.0,ORIO,Modifies AC,Modifies AC,MAC,,,Sorceror,Scourge,,0-Cantrip,Evocation,V,"You exhale a puff of grayish smoke, which spreads in a small cone before quickly vanishing. Creatures in the area must make a Constitution saving throw or briefly choke on the acrid air. On a failed save, a creature cannot take reactions until the start of its next turn. This effect does not work against creatures that do not need to breathe.",,,,,,,,,,,,,,,must make a Constitution saving throw,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,Action,1.0,Action,,Instantaneous,Instant,,,False,False,Self,Point,,Self,(5- feet cone),Cone,N,5.0,Cone,"Somatic, Material","S, R",a pinch of ash,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/ashen%20breath.png,3137195.0,,"Sorcerer, Warlock"
,Barb of Living Ruin,0.0,ORIO,Healing,Healing,HL,"Damage, Atomic, BETA",,"Bard, Warlock, Paladin, Druid","Architect, Anomalous",,5th-level,Evocation,V,"You drive a needle of unstable ruin into the target, an invisible barb that seeds their body with volatile decay. On contact, the target takes 6d10 radiation damage and becomes contaminated for the duration. A faint, glowing scar shaped like a hooked barb marks the point of impact.

While contaminated, the target bleeds destructive energy in a 5-foot radius. Any creature that starts its turn within that radius, excluding you, takes 1d6 radiation damage. At the start of each of the target’s turns, it takes 1d4 radiation damage as its body struggles to contain the ruin. The contamination spreads to any creature that ends its turn grappling or touching the target.

If the target receives magical healing, the contamination ends for that creature, though the scar remains unless removed by Arcane Sterilization or Sigil of Restoration.",,,,,,,,,,,"> “The sting doesn’t kill you. It kills your presence—makes you the danger.” 
> — Whispered at the ASTRAL quarantine labs",,,"On a 15 or higher when casting: The sting pulses again one round later, forcing the target to make a new Constitution saving throw or take an additional 2d10 radiation damage.
",target takes 6d10 radiation damage,3.0,,6d10,,,,,,6d10,radiation,Fire,,,,,,,,,False,False,Action,1.0,Action,,Up to 1 minutes,,1.0,Minutes,True,True,Touch,Point,,Touch,,,,,,"Verbal, Somatic, Material","V, S, R",a shard of irradiated glass,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/barb%20of%20living%20ruin.png,3137196.0,,"Sorcerer, Warlock"
,Barriers of Officialism,0.0,ORIO,"Modifies AC, Grants Advantage","Modifies AC, Grants Advantage",MAC,"BETA, Bureaucratic",,Paladin,Parascientist,Semiography,1st-level,Abjuration,A,"A hovering writ of binding law manifests around you, forming an unseen but oppressive obstruction. For the duration, whenever a creature targets you with an attack, it must choose one of the following options:

• Submit a Petition: The creature forfeits its next action, doing nothing on its following turn.
• Endure the Queue: The creature’s movement speed is reduced by 10 feet for that turn.
• Defy the Writ: The creature makes the attack roll with disadvantage.

This effect persists for the spell’s full duration or until you are incapacitated.",,,,,,,,,,,The spell was originally created by the Department of Magical Compliance to protect mid- level clerks from workplace aggression. It remains surprisingly effective.,,,,makes the attack roll with disadvantage,2.0,,,,disadvantage,,,,,,,,,,,,,,,False,False,Reaction ,1.0,Reaction,when attacked,1 minutes,,1.0,Minutes,False,False,Self,Point,,Self,,,,,,"Verbal, Somatic","V, S",,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/barriers%20of%20officialism.png,3137456.0,,Wizard
,Battle-Fury Ascension,0.0,ORIO,"Modifies AC, Affects Objects, Grants Advantage","Modifies AC, Affects Objects, Grants Advantage",MAC,,,Wizard,Operative,,2nd-level,Abjuration,A,"You awaken a heightened state of martial clarity, flooding the target with supernatural speed, awareness, and instinct.
	•	The target’s speed doubles.
	•	They gain a +2 bonus to AC.
	•	They have advantage on Dexterity saving throws.
	•	On each of their turns, they gain one additional action (Attack, Dash, Disengage, Hide, or Use an Object).

When the spell ends, the surge collapses. The target’s body rebels against the sudden loss of heightened function, leaving them unable to move or take actions for one full round, overwhelmed by the aftershock of borrowed perfection.",,,,,,,,,,,,,,,+2 bonus to ac,1.0,,,,2.0,,,,,,,,,,,,,,,False,False,Action,1.0,Action,,1 minutes,,1.0,Minutes,False,False,30 feet,Point,30.0,Feet,,,,,,"Verbal, Somatic, Material","V, S, R",a data uplink or HUD visor,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/battle-fury%20ascension.png,3137528.0,,Wizard
