Images,Spell Name,Page,Source,Foundry Tag,,Tag ABRV,Theme,Class,New Class,Level,School,School ABRV,Description,Notes,Clarification,Table,Flavor,Quotes,Damage,Damage Type,Condition,Saving Throw,Success,Fail,Skill Check,Ability Check,DC,Ritual,Techno Magic,Casting Time,Casting Unit,Casting Type,Trigger,Duration,Duration Type,Duration Amount,Duration Unit,Up To,Concentration,Range,Range Type,Range Unit,Range Distance,Area,Area Type,Area ABRV,Area Unit,Area Distance,Components,Components ABVR,Component Description (Material),Component Description (Somatic),Component Description (Verbal),Terrain,Terrain Effect,Consecrated / Desecrated,Cost,Blood Pact,Blood Pact Effect,Arcane Strain,References SRD,Image Url,DDB,WA,DDB Sync Status,DDB Sync Error,DDB Last Synced,DDB Publish Status
,Ashen Breath,0,ORIO,Modifies AC,Modifies AC,MAC,,"Sorcerer, Warlock",Scourge,0-Cantrip,Evocation,V,"You exhale a short-lived plume of gray, acrid smoke that spreads in a 15-foot cone before thinning into nothingness. The vapors sting the throat and seize the breath of those caught within.

Each creature in the area must make a Constitution saving throw.

• Failure: The creature chokes on the harsh fumes. Until the start of its next turn, it cannot take reactions.
• Success: The creature resists the irritation and suffers no effect.

The smoke dissipates almost immediately after leaving your lungs, leaving no lingering cloud or obscuration. Creatures that do not need to breathe are unaffected.",,,,,,,,,,,,,,,FALSE,FALSE,Action,1,Action,,Instantaneous,Instant,,,FALSE,FALSE,Self,Point,,Self,(5- feet cone),Cone,N,5,Cone,"Somatic, Material","S, R",a pinch of powdered ash,with a swift exhaling motion,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/ashen%20breath.png,3137195,,❌,"Failed to create modifier: HTTP 302: Found | <html><head><title>Object moved</title></head><body>
<h2>Object moved to <a href=""/homebrew/creations/spells/3137195-ashen-breath/edit",2026-02-15 17:54:32,
,Blink and You Missed It,0,ORIO,Modifies AC,Modifies AC,MAC,,"Sorcerer, Warlock",Parascientist,0-Cantrip,Transmutation,T,"You drift slightly out of step with immediate perception, your presence sliding across awareness without properly settling.

Until the start of your next turn, creatures that visually perceive you struggle to form a stable impression of your presence.

When a creature sees you during this time, it must succeed on an Intelligence check against your spell save DC to consciously register and remember you.

• Failure: The creature notices nothing unusual and does not retain awareness of your presence. It behaves as though you were never observed unless you later interact with it directly.
• Success: The creature perceives you normally and is unaffected by this spell.

The effect immediately ends for a creature if you:

• Attack
• Speak
• Physically interact with it or its environment in an obvious way

This spell has no effect on creatures that rely on non-visual senses to detect you.",,,,,,,,,,,,,,,FALSE,FALSE,Action,1,Action,,1 rounds,,1,Rounds,FALSE,FALSE,Self,Point,,Self,(10- feet radius),,,10,Radius,"Somatic, Verbal","V, S",,"Flick your fingers in a quick, subtle motion.",Murmur ' Slipstream' under your breath.,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/blink%20and%20you%20missed%20it.png,3137204,,❌,"Failed to create modifier: HTTP 302: Found | <html><head><title>Object moved</title></head><body>
<h2>Object moved to <a href=""/homebrew/creations/spells/3137204-blink-and-you-mis",2026-02-15 17:54:54,
,Cauterize Through Time,0,ORIO,Grants Advantage,Grants Advantage,ADV,,"Sorcerer, Wizard",Parascientist,0-Cantrip,Evocation,V,"You snap your fingers through tangled chronology, sending a searing ripple into a wound that never had time to close.

Choose one creature within range and make a ranged spell attack. On a hit, the target takes 1d6 fire damage as heat blooms from an impossible instant.

The target must then make a Constitution saving throw.

• Failure: The creature has disadvantage on the next Constitution saving throw it makes to maintain concentration before the end of your next turn.
• Success: No additional effect.

The flames manifest as a brief, unnatural cauterization, more like an event imposed upon the flesh than a conventional burn.",,,,"
- 5th level – 2d6 damage
- 11th level – 3d6 damage
- 17th level – 4d6 damage",,1d6,Fire,,,,,,,,FALSE,FALSE,Action,1,Action,,1 rounds,,1,Rounds,FALSE,FALSE,30 feet,Point,30,Feet,,,,,,Somatic,S,,Snap your fingers,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/cauterize%20through%20time.png,3137211,,❌,"Failed to create modifier: HTTP 200: OK | 

<!DOCTYPE html>
<!--[if lt IE 7 ]> <html lang=""en"" class=""no-js ie6""> <![endif]-->
<!--[if IE 7 ]>    <html lang=""en"" class=""no-js i",2026-02-15 17:55:51,
,Ceiling Watcher,0,ORIO,"Modifies AC, Creates Light, Grants Advantage","Modifies AC, Creates Light, Grants Advantage",MAC,,"Sorcerer, Wizard",Scourge,0-Cantrip,Illusion,I,"A faint, eye-like shape appears upon a ceiling, wall, or corner within range. The illusion is motionless, silent, and incapable of perception. It persists for the duration.

A creature that can see the watcher and is unfamiliar with the spell may use its action to examine the illusion, making a Wisdom (Perception) check against your spell save DC.

• Success: The creature recognizes the watcher as illusory and is unaffected.
• Failure: The creature experiences a subtle but persistent unease while it can see the watcher.

While uneasy, the creature:

• Has disadvantage on its next Stealth check made before the start of its next turn.
• Suffers mild distraction at the DM’s discretion (hesitation, discomfort, brief glances).

This effect ends immediately if the creature interacts with the illusion or no longer sees it.

The watcher produces no light, sound, or other sensory output.",,,,,,,,,,,,,,,FALSE,FALSE,Action,1,Action,,1 minutes,,1,Minutes,FALSE,FALSE,20 feet,Point,20,Feet,,,,,,"Somatic, Verbal, Material","V, S, R","a small, polished obsidian mirror",tapping your forehead with your index finger,whispering 'Vigilant gaze',,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/ceiling%20watcher.png,3137213,,❌,"Failed to create modifier: HTTP 200: OK | 

<!DOCTYPE html>
<!--[if lt IE 7 ]> <html lang=""en"" class=""no-js ie6""> <![endif]-->
<!--[if IE 7 ]>    <html lang=""en"" class=""no-js i",2026-02-15 17:55:54,
,Cinder Veil,0,ORIO,Creates Light,Creates Light,LGTS,,"Cleric, Druid",Scourge,0-Cantrip,Evocation,V,"A faint shimmer of drifting embers surrounds you, radiating a fragile warmth that repels the bite of cold.

Until the start of your next turn, the first time you would take cold damage, reduce that damage by 5 (minimum 0).

If you are within an area of magical darkness, the embers glow with a dim, smoldering light. While the veil persists, creatures within 5 feet can clearly perceive your outline.",,,,,,,,,,,,,,,FALSE,FALSE,Action,1,Action,,1 rounds,,1,Rounds,FALSE,FALSE,5 feet,Point,5,Feet,,,,,,"Somatic, Material","S, R",A pinch of glowing embers,"With a gentle stirring motion, as if coaxing warmth from the ashes",,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/cinder%20veil.png,3137218,,❌,"Failed to create modifier: HTTP 200: OK | 

<!DOCTYPE html>
<!--[if lt IE 7 ]> <html lang=""en"" class=""no-js ie6""> <![endif]-->
<!--[if IE 7 ]>    <html lang=""en"" class=""no-js i",2026-02-15 17:56:06,
,Clockless Chess,0,ORIO,"Summons Creature, Modifies AC","Summons Creature, Modifies AC",SMN,,Bard,"Parascientist, Celebrity",0-Cantrip,Conjuration,C,"You conjure a small, spectral chessboard in an unoccupied space within range. Translucent pieces manifest upon its surface and begin to move of their own accord, enacting a silent and inscrutable match.

The game progresses without intervention, the pieces shifting with deliberate precision. No matter how long it is observed, the contest invariably concludes in a perfect stalemate.

The board and its pieces are intangible, emit no sound, and provide no strategic insight. Creatures may watch the game, but cannot influence its outcome.

The chessboard vanishes when the spell ends.
",,,,,,,,,,,,,,,FALSE,FALSE,Action,1,Action,,Instantaneous,Instant,,,FALSE,FALSE,10 feet,Point,10,Feet,,,,,,Somatic,S,,With hands in a stalemated pose,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/clockless%20chess.png,3137224,,✅,,2026-02-15 17:56:12,
,Conjure Mild Inconvenience,0,ORIO,,,,,Bard,"Celebrity, Anomalous",0-Cantrip,Conjuration,C,"You summon a trivial but deeply irritating inconvenience to plague a creature or small area within range. No damage is dealt, and no serious harm is inflicted—just mild frustration.

Roll a d10 and consult the Chaos Table below to determine the exact annoyance:",,"Clarifications:- The inconvenience is purely cosmetic, causing no damage or severe disadvantage.- The DM can creatively adjust minor details based on the narrative scenario.","| d10 | Minor Annoyance (Chaos Table) |
|----- |----------------------------------------------------------------------------- |
| 1 | A sock disappears from the target’s foot, never to be found again. |
| 2 | A sudden, unbearable itch appears exactly where the target can't reach. |
| 3 | The target’s shoelaces immediately untie themselves repeatedly for 1 minute. |
| 4 | A random book or document the target is holding becomes incorrectly labeled, causing confusion. |
| 5 | The target’s keys or similar small celebrityl item vanish momentarily, reappearing only after thorough searching. |
| 6 | An annoying dripping sound emanates nearby but has no identifiable source. |
| 7 | The target’s clothes become slightly uncomfortable—too itchy, tight, or loose—for exactly one minute. |
| 8 | A persistent and unexplained humming noise surrounds the target, audible only to them. |
| 9 | Every surface the target touches for the next minute feels oddly sticky. |
| 10 | A harmless but persistent fly or insect buzzes around the target’s face, impossible to swat or catch. |",,,,,,,,,,,,FALSE,FALSE,Action,1,Action,,Instantaneous,Instant,,,FALSE,FALSE,30 feet,Point,30,Feet,,,,,,"Somatic, Verbal","V, S",,Flick your wrist as if dismissing an annoyance,"'Inconvenience, arise!'",,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/conjure%20mild%20inconvenience.png,3137231,,✅,,2026-02-15 17:56:22,
,Crawling Dread,0,ORIO,Modifies AC,Modifies AC,MAC,,"Sorcerer, Wizard","Celebrity, Cultist",0-Cantrip,Illusion,I,"You insinuate a faint but maddening illusion into the mind of a creature within range, provoking the persistent sensation of unseen movement across their skin.

The target must make an Intelligence saving throw.

• Failure: Until the start of its next turn, the creature is distracted by the sensation. The next time it takes an action requiring fine motor control or concentration, it must first make a Wisdom saving throw. On a failure, the action is wasted as the creature reflexively recoils, brushes at phantom irritants, or shifts in discomfort.
• Success: The creature is unaffected.

The effect ends immediately if the creature takes damage.",,,,,,,,,,,,,,,FALSE,FALSE,Action,1,Action,,1 minutes,,1,Minutes,FALSE,TRUE,30 feet,Point,30,Feet,,,,,,"Somatic, Material","S, R","a small, intricately carved wooden bead","tapping your fingers against your thigh in a slow, deliberate pattern",,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/crawling%20dread.png,3137245,,❌,"Failed to create modifier: HTTP 302: Found | <html><head><title>Object moved</title></head><body>
<h2>Object moved to <a href=""/homebrew/creations/spells/3137245-crawling-dread/ed",2026-02-15 17:56:35,
,Dead Air,0,ORIO,Grants Advantage,Grants Advantage,ADV,,Cleric,"Celebrity, Anomalous",0-Cantrip,Evocation,V,"You impose a fleeting hush of unnatural stillness upon living expression, as though speech itself has momentarily forgotten its vitality.

Until the start of your next turn, creatures within range experience subtle disruption of verbal continuity:

• Spoken phrases may emerge halting, toneless, or faintly delayed, as if briefly drained of animation.
• Creatures have disadvantage on Charisma (Deception and Persuasion) checks that rely on confident or fluid speech.
• Attempts to convey nuanced or emotionally charged meaning may feel curiously flattened or disjointed at the GM’s discretion.

This effect does not silence creatures or prevent communication. It introduces only a transient sense of conversational inertia, where words feel briefly bereft of their usual force.",,,,,,,,,,,,,,,FALSE,FALSE,Action,1,Action,,Instantaneous,Instant,,,FALSE,FALSE,30 feet,Point,30,Feet,,,,,,"Verbal, Material","V, R","a small, intricately carved wooden tongue",,the whispered phrase 'Silence's fleeting grasp',,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/dead%20air.png,3137252,,❌,"Failed to create modifier: HTTP 200: OK | 

<!DOCTYPE html>
<!--[if lt IE 7 ]> <html lang=""en"" class=""no-js ie6""> <![endif]-->
<!--[if IE 7 ]>    <html lang=""en"" class=""no-js i",2026-02-15 17:56:56,
,Dice Storm,0,ORIO,"Difficult Terrain, Affects Objects","Difficult Terrain, Affects Objects",DFT,,"Sorcerer, Wizard",Celebrity,0-Cantrip,Evocation,V,"You call upon the fractured laws of probability, summoning a swirling rain of polyhedral objects—tiny magical dice—within a 10- foot radius centered on you. The clattering projectiles slam into everything nearby.

Each creature of your choice in the area must make a Dexterity saving throw or take 2d6 bludgeoning damage. On a successful save, they take half damage. The damage is nonlethal unless otherwise specified.

Chaos Surge:

Immediately after casting, roll a d20. On a natural 20, the dice manifest as larger and denser projectiles (e.g., d20s the size of coconuts). Choose one of the following critical effects, or let the DM improvise:- The target is knocked prone.- One object in the area is crushed or broken.- A random magical effect is triggered (see Wild Magic surge table).- The area becomes difficult terrain until the end of your next turn (covered in slippery dice).- You regain 1 hit point (the dice land just right to boost your morale).",,,,"Originally cataloged under “d1.ce” by A.S.T.R.A.L., this anomaly manifested during a failed probability containment test. The storm is still considered a Class- 1 hazard in casinos, board rooms, and office game nights.",,2d6,Bludgeoning,Prone,,,,,,,FALSE,FALSE,Action,1,Action,,Instantaneous,Instant,,,FALSE,TRUE,Self,Point,,Self,Radius/10 ft,,,10,Radius,"Somatic, Verbal","V, S",,"With a flick of your wrist,","Dice storm, manifest!",,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/dice%20storm.png,3137255,,❌,"Failed to create higher level: HTTP 302: Found | <html><head><title>Object moved</title></head><body>
<h2>Object moved to <a href=""/homebrew/creations/spells/3137255-dice-storm/ed",2026-02-15 17:57:15,
