Spell Name,Audit - Resolution Model,Audit - Cantrip Decision,Audit - Damage Budget,Audit - Rider Budget,Audit - Damage Verdict,Audit - Permanent Effect Verdict,Audit - Original Class Verdict,Audit - Suggested Class Additions,Audit - Suggested Class Removals,Audit - Class Rationale,Audit - Action Economy Verdict,Audit - Upcasting Verdict,Audit - Overall Balance Verdict,Audit - Recommended Change Summary
Ashen Breath,Saving Throw,Keep as Cantrip,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,Warlock,Removed non-thematic/high-level access for Warlock,Keep Action,No Upcast Needed,Acceptable,Removed Warlock access
Blink and You Missed It,Automatic with prerequisite,Convert to Ritual,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,Sorcerer,Removed non-thematic/high-level access for Sorcerer,Change to Reaction,No Upcast Needed,Acceptable,Removed Sorcerer access; Reaction casting
Cauterize Through Time,Saving Throw,Promote to 1st-level,9.0-13.5 expected; 3.5 listed,No strong rider,Too Low,Safe,Broaden Access,Paladin,,Added thematic access for Paladin,Keep Action,Add Damage Scaling,Acceptable,Promoted from cantrip to 1st level; Added Paladin access
Ceiling Watcher,Automatic with prerequisite,Promote to 1st-level,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,Sorcerer,Removed non-thematic/high-level access for Sorcerer,Keep Action,Needs Manual Review,Acceptable,Promoted from cantrip to 1st level; Removed Sorcerer access
Cinder Veil,Automatic with prerequisite,Keep as Cantrip,No explicit damage formula,No strong rider,Needs Manual Review,Safe,Remove Classes,,Druid,Removed non-thematic/high-level access for Druid,Keep Action,No Upcast Needed,Needs Manual Review,Removed Druid access; Review unclear damage
Clockless Chess,Automatic with prerequisite,Keep as Cantrip,No explicit damage formula,No strong rider,Acceptable,Safe,Narrow Access,Warlock,Bard,Added thematic access for Warlock; Removed non-thematic/high-level access for Bard,Keep Action,No Upcast Needed,Acceptable,Added Warlock access; Removed Bard access
Conjure Mild Inconvenience,Automatic with prerequisite,Promote to 1st-level,No explicit damage formula,No strong rider,Needs Manual Review,Safe,Keep,,,Existing access is thematic.,Keep Action,Needs Manual Review,Needs Manual Review,Promoted from cantrip to 1st level; Review unclear damage
Crawling Dread,Saving Throw,Keep as Cantrip,No explicit damage formula,No strong rider,Needs Manual Review,Safe,Remove Classes,,Sorcerer,Removed non-thematic/high-level access for Sorcerer,Keep Action,No Upcast Needed,Needs Manual Review,Removed Sorcerer access; Review unclear damage
Dead Air,Automatic with prerequisite,Promote to 1st-level,No explicit damage formula,No strong rider,Acceptable,Safe,Broaden Access,Wizard,,Added thematic access for Wizard,Change to Ritual,Needs Manual Review,Acceptable,Promoted from cantrip to 1st level; Added Wizard access; Ritual casting
Dice Storm,Saving Throw,Keep as Cantrip,2.3-4.4 expected; 7.0 listed,No strong rider,Too High,Safe,Keep,,,Existing access is thematic.,Keep Action,No Upcast Needed,Acceptable,No further change recommended.
Directional Sense,Environmental with avoidance rules,Keep as Cantrip,No explicit damage formula,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Change to Bonus Action,No Upcast Needed,Acceptable,Bonus Action casting
Dirge Pulse,Automatic with prerequisite,Keep as Cantrip,No explicit damage formula,No strong rider,Needs Manual Review,Safe,Remove Classes,,Sorcerer,Removed non-thematic/high-level access for Sorcerer,Keep Action,No Upcast Needed,Needs Manual Review,Removed Sorcerer access; Review unclear damage
Drifting Echo,Automatic with prerequisite,Keep as Cantrip,No explicit damage formula,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,No Upcast Needed,Acceptable,No further change recommended.
Dripping Hour,Saving Throw,Keep as Cantrip,No explicit damage formula,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,No Upcast Needed,Acceptable,No further change recommended.
Dust Veil,Automatic with prerequisite,Promote to 1st-level,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,Sorcerer,Removed non-thematic/high-level access for Sorcerer,Change to Reaction,Needs Manual Review,Acceptable,Promoted from cantrip to 1st level; Removed Sorcerer access; Reaction casting
Murmur of What Was,Automatic with prerequisite,Keep as Cantrip,No explicit damage formula,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,No Upcast Needed,Acceptable,No further change recommended.
Impression of Near Portent,Automatic with prerequisite,Keep as Cantrip,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,Bard,Removed non-thematic/high-level access for Bard,Keep Action,No Upcast Needed,Acceptable,Removed Bard access
Echoing Stomp,Saving Throw,Keep as Cantrip,1.1-3.3 expected; 3.5 listed,Strong rider: reduced damage budget,Acceptable,Safe,Remove Classes,,Bard,Removed non-thematic/high-level access for Bard,Keep Action,No Upcast Needed,Acceptable,Removed Bard access
Eclipse Touch,Automatic with prerequisite,Keep as Cantrip,3.5-5.5 expected; 2.5 listed,No strong rider,Too Low,Safe,Remove Classes,,Sorcerer,Removed non-thematic/high-level access for Sorcerer,Keep Action,No Upcast Needed,Acceptable,Removed Sorcerer access
Erased Footsteps,Automatic with prerequisite,Convert to Ritual,No explicit damage formula,No strong rider,Acceptable,Safe,Narrow Access,Artificer,Sorcerer,Added thematic access for Artificer; Removed non-thematic/high-level access for Sorcerer,Change to Ritual,No Upcast Needed,Acceptable,Added Artificer access; Removed Sorcerer access; Ritual casting
Expired Authority,Saving Throw,Keep as Cantrip,No explicit damage formula,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,No Upcast Needed,Acceptable,No further change recommended.
Fabricated Memory,Saving Throw,Keep as Cantrip,No explicit damage formula,No strong rider,Acceptable,Safe,Broaden Access,Artificer,,Added thematic access for Artificer,Keep Action,No Upcast Needed,Acceptable,Added Artificer access
Fascination,Saving Throw,Keep as Cantrip,No explicit damage formula,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,No Upcast Needed,Acceptable,No further change recommended.
Flawed Step,Automatic with prerequisite,Keep as Cantrip,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,Sorcerer,Removed non-thematic/high-level access for Sorcerer,Keep Action,No Upcast Needed,Acceptable,Removed Sorcerer access
Flickering Veil,Automatic with prerequisite,Promote to 1st-level,No explicit damage formula,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,Needs Manual Review,Acceptable,Promoted from cantrip to 1st level
Ghost Slap,Saving Throw,Promote to 1st-level,No explicit damage formula,Strong rider,Acceptable,Safe,Narrow Access,Cleric,Bard,Added thematic access for Cleric; Removed non-thematic/high-level access for Bard,Keep Action,Needs Manual Review,Acceptable,Promoted from cantrip to 1st level; Added Cleric access; Removed Bard access
Glassheart,Automatic with prerequisite,Keep as Cantrip,3.5-5.5 expected; 2.5 listed,No strong rider,Too Low,Safe,Keep,,,Existing access is thematic.,Keep Action,No Upcast Needed,Acceptable,No further change recommended.
Grasp of the Unseen,Saving Throw,Promote to 1st-level,No explicit damage formula,Strong rider,Acceptable,Safe,Narrow Access,Artificer,Sorcerer,Added thematic access for Artificer; Removed non-thematic/high-level access for Sorcerer,Keep Action,Needs Manual Review,Acceptable,Promoted from cantrip to 1st level; Added Artificer access; Removed Sorcerer access
